case_id,worker_id,worker_name,case_type,open_date,close_date,status,days_open,successful_closure,client_satisfaction
CS-0112,W11,Patricia Martinez,Child Welfare,2023-02-11,2023-07-23,Closed,162,1,2
CS-0113,W04,James Wilson,Mental Health,2023-12-19,2024-02-29,Closed,72,1,3
CS-0114,W06,Robert Johnson,Housing,2023-02-08,,Open,692,0,4
CS-0115,W11,Patricia Martinez,Mental Health,2023-02-11,,Open,689,0,4
CS-0116,W06,Robert Johnson,Housing,2023-06-06,,Open,574,0,4
CS-0117,W03,Maria Garcia,Child Welfare,2023-10-16,,Open,442,0,5
CS-0118,W10,Christopher Taylor,Child Welfare,2023-10-21,2023-12-12,Closed,52,1,4
CS-0119,W07,Amanda Davis,Mental Health,2023-05-16,,Open,595,0,4
CS-0120,W08,Michael Brown,Mental Health,2023-08-31,2024-01-01,Closed,123,1,3
CS-0121,W10,Christopher Taylor,Housing,2023-12-26,2024-02-20,Closed,56,1,4
CS-0122,W07,Amanda Davis,Child Welfare,2023-11-12,2023-12-01,Closed,19,0,5
CS-0123,W09,Jennifer Lee,Child Welfare,2023-05-07,,Open,604,0,5
CS-0124,W04,James Wilson,Substance Abuse,2023-10-23,2024-06-06,Closed,227,1,5
CS-0125,W03,Maria Garcia,Child Welfare,2023-07-01,2023-08-16,Closed,46,1,4
CS-0126,W04,James Wilson,Substance Abuse,2023-07-21,2023-07-31,Closed,10,1,2
CS-0127,W04,James Wilson,Mental Health,2023-03-16,2023-04-27,Transferred,42,0,4
CS-0128,W06,Robert Johnson,Child Welfare,2023-09-08,,Open,480,0,3
CS-0129,W02,David Chen,Mental Health,2023-07-17,,Open,533,0,4
CS-0130,W03,Maria Garcia,Child Welfare,2023-02-18,,Open,682,0,3
CS-0131,W12,Daniel Anderson,Child Welfare,2023-04-28,2023-06-17,Transferred,50,0,3
CS-0132,W03,Maria Garcia,Child Welfare,2023-07-30,2023-10-04,Closed,66,0,3
CS-0133,W04,James Wilson,Substance Abuse,2023-01-19,,Open,712,0,3
CS-0134,W06,Robert Johnson,Mental Health,2023-04-24,2023-09-11,Closed,140,1,5
CS-0135,W03,Maria Garcia,Child Welfare,2023-05-11,2023-06-18,Closed,38,0,3
CS-0136,W02,David Chen,Substance Abuse,2023-12-15,2024-03-06,Closed,82,1,3
CS-0137,W02,David Chen,Mental Health,2023-11-24,,Open,403,0,3
CS-0138,W07,Amanda Davis,Child Welfare,2023-10-18,,Open,440,0,4
CS-0139,W08,Michael Brown,Housing,2023-06-14,,Open,566,0,2
CS-0140,W01,Sarah Mitchell,Mental Health,2023-06-10,,Open,570,0,3
CS-0141,W01,Sarah Mitchell,Child Welfare,2023-02-05,2023-06-04,Closed,119,0,2
CS-0142,W10,Christopher Taylor,Child Welfare,2023-04-29,2023-08-05,Closed,98,1,4
CS-0143,W06,Robert Johnson,Mental Health,2023-12-21,2024-03-21,Transferred,91,0,4
CS-0144,W09,Jennifer Lee,Mental Health,2023-04-25,2023-09-03,Closed,131,0,3
CS-0145,W04,James Wilson,Child Welfare,2023-10-05,2024-10-23,Closed,384,1,3
CS-0146,W01,Sarah Mitchell,Housing,2023-12-07,2024-02-17,Closed,72,1,3
CS-0147,W04,James Wilson,Mental Health,2023-03-17,,Open,655,0,5
CS-0148,W07,Amanda Davis,Child Welfare,2023-06-22,2023-08-17,Closed,56,0,5
CS-0149,W04,James Wilson,Child Welfare,2023-11-06,2023-11-23,Closed,17,0,3
CS-0150,W03,Maria Garcia,Child Welfare,2023-04-23,2023-07-26,Closed,94,0,2
CS-0151,W04,James Wilson,Housing,2023-03-10,2023-04-17,Closed,38,0,4
CS-0152,W10,Christopher Taylor,Housing,2023-07-20,2023-08-09,Closed,20,1,3
CS-0153,W08,Michael Brown,Mental Health,2023-04-14,2023-05-19,Closed,35,0,4
CS-0154,W03,Maria Garcia,Mental Health,2023-10-02,2024-03-08,Closed,158,0,4
CS-0155,W09,Jennifer Lee,Substance Abuse,2023-10-30,,Open,428,0,5
CS-0156,W08,Michael Brown,Mental Health,2023-07-19,,Open,531,0,4
CS-0157,W05,Lisa Thompson,Child Welfare,2023-12-31,2024-01-14,Closed,14,1,2
CS-0158,W01,Sarah Mitchell,Substance Abuse,2023-06-25,,Open,555,0,3
CS-0159,W04,James Wilson,Substance Abuse,2023-08-11,2023-12-05,Transferred,116,0,4
CS-0160,W01,Sarah Mitchell,Mental Health,2023-04-18,,Open,623,0,3
CS-0161,W01,Sarah Mitchell,Substance Abuse,2023-07-02,2023-09-26,Closed,86,0,5
CS-0162,W08,Michael Brown,Mental Health,2023-04-18,,Open,623,0,4
CS-0163,W01,Sarah Mitchell,Housing,2023-09-08,2023-10-28,Transferred,50,0,3
CS-0164,W05,Lisa Thompson,Mental Health,2023-08-24,2023-11-24,Transferred,92,0,5
CS-0165,W04,James Wilson,Mental Health,2023-03-06,,Open,666,0,3
CS-0166,W03,Maria Garcia,Child Welfare,2023-10-20,,Open,438,0,3
CS-0167,W01,Sarah Mitchell,Housing,2023-03-14,,Open,658,0,3
CS-0168,W12,Daniel Anderson,Substance Abuse,2023-07-17,2023-11-28,Transferred,134,0,3
CS-0169,W07,Amanda Davis,Housing,2023-08-14,,Open,505,0,4
CS-0170,W07,Amanda Davis,Mental Health,2023-11-26,,Open,401,0,4
CS-0171,W04,James Wilson,Child Welfare,2023-09-16,2024-02-18,Closed,155,0,4
CS-0172,W07,Amanda Davis,Mental Health,2023-06-27,2024-11-08,Closed,500,0,2
CS-0173,W05,Lisa Thompson,Mental Health,2023-03-30,2023-06-26,Closed,88,1,3
CS-0174,W02,David Chen,Housing,2023-08-14,2023-11-26,Transferred,104,0,4
CS-0175,W07,Amanda Davis,Mental Health,2023-08-14,2023-10-04,Closed,51,1,3
CS-0176,W01,Sarah Mitchell,Child Welfare,2023-10-11,,Open,447,0,5
CS-0177,W10,Christopher Taylor,Mental Health,2023-08-12,2024-03-22,Closed,223,1,4
CS-0178,W10,Christopher Taylor,Substance Abuse,2023-08-04,2023-11-18,Closed,106,0,5
CS-0179,W10,Christopher Taylor,Substance Abuse,2023-12-29,,Open,368,0,3
CS-0180,W10,Christopher Taylor,Housing,2023-09-06,,Open,482,0,4
CS-0181,W10,Christopher Taylor,Child Welfare,2023-12-29,,Open,368,0,5
CS-0182,W03,Maria Garcia,Child Welfare,2023-01-13,2024-01-15,Closed,367,0,4
CS-0183,W03,Maria Garcia,Mental Health,2023-12-10,2024-01-01,Closed,22,1,3
CS-0184,W10,Christopher Taylor,Child Welfare,2023-12-01,2023-12-12,Transferred,11,0,3
CS-0185,W11,Patricia Martinez,Substance Abuse,2023-08-30,2023-09-14,Transferred,15,0,4
CS-0186,W05,Lisa Thompson,Child Welfare,2023-04-30,,Open,611,0,4
CS-0187,W10,Christopher Taylor,Housing,2023-10-12,2024-01-23,Closed,103,0,3
CS-0188,W10,Christopher Taylor,Child Welfare,2023-02-27,,Open,673,0,3
CS-0189,W02,David Chen,Mental Health,2023-01-04,2023-03-09,Closed,64,1,4
CS-0190,W02,David Chen,Child Welfare,2023-03-25,2023-05-02,Closed,38,0,4
CS-0191,W02,David Chen,Mental Health,2023-01-21,2023-05-22,Transferred,121,0,2
CS-0192,W03,Maria Garcia,Substance Abuse,2023-06-11,,Open,569,0,3
CS-0193,W01,Sarah Mitchell,Substance Abuse,2023-01-12,2023-03-20,Closed,67,1,3
CS-0194,W01,Sarah Mitchell,Child Welfare,2023-01-27,2023-06-14,Closed,138,0,3
CS-0195,W02,David Chen,Child Welfare,2023-11-12,2023-11-29,Transferred,17,0,5
CS-0196,W03,Maria Garcia,Mental Health,2023-11-15,2023-12-30,Closed,45,1,5
CS-0197,W05,Lisa Thompson,Housing,2023-07-28,,Open,522,0,3
CS-0198,W05,Lisa Thompson,Mental Health,2023-02-01,2023-06-18,Closed,137,0,3
CS-0199,W11,Patricia Martinez,Substance Abuse,2023-06-28,,Open,552,0,3
CS-0200,W07,Amanda Davis,Substance Abuse,2023-07-21,2024-04-11,Closed,265,1,3
