student_id,student_name,semester,competency,score,assessor
S022,Kevin Harris,Fall_2023,Human_Rights,5,Field_Instructor
S022,Kevin Harris,Fall_2023,Research,3,Faculty
S022,Kevin Harris,Fall_2023,Policy,3,Field_Instructor
S022,Kevin Harris,Spring_2024,Ethics,4,Field_Instructor
S022,Kevin Harris,Spring_2024,Diversity,3,Field_Instructor
S022,Kevin Harris,Spring_2024,Human_Rights,4,Field_Instructor
S022,Kevin Harris,Spring_2024,Research,4,Faculty
S022,Kevin Harris,Spring_2024,Policy,3,Field_Instructor
S023,Nicole Martin,Fall_2023,Ethics,4,Faculty
S023,Nicole Martin,Fall_2023,Diversity,4,Faculty
S023,Nicole Martin,Fall_2023,Human_Rights,3,Field_Instructor
S023,Nicole Martin,Fall_2023,Research,3,Faculty
S023,Nicole Martin,Fall_2023,Policy,3,Field_Instructor
S023,Nicole Martin,Spring_2024,Ethics,4,Field_Instructor
S023,Nicole Martin,Spring_2024,Diversity,4,Field_Instructor
S023,Nicole Martin,Spring_2024,Human_Rights,3,Faculty
S023,Nicole Martin,Spring_2024,Research,2,Field_Instructor
S023,Nicole Martin,Spring_2024,Policy,3,Faculty
S024,Jason Robinson,Fall_2023,Ethics,4,Field_Instructor
S024,Jason Robinson,Fall_2023,Diversity,5,Faculty
S024,Jason Robinson,Fall_2023,Human_Rights,4,Faculty
S024,Jason Robinson,Fall_2023,Research,3,Faculty
S024,Jason Robinson,Fall_2023,Policy,3,Field_Instructor
S024,Jason Robinson,Spring_2024,Ethics,4,Field_Instructor
S024,Jason Robinson,Spring_2024,Diversity,5,Field_Instructor
S024,Jason Robinson,Spring_2024,Human_Rights,4,Faculty
S024,Jason Robinson,Spring_2024,Research,4,Field_Instructor
S025,Michelle Clark,Fall_2023,Ethics,3,Field_Instructor
S025,Michelle Clark,Fall_2023,Diversity,3,Faculty
S025,Michelle Clark,Fall_2023,Human_Rights,4,Faculty
S025,Michelle Clark,Fall_2023,Research,3,Field_Instructor
S025,Michelle Clark,Fall_2023,Policy,3,Faculty
S025,Michelle Clark,Spring_2024,Ethics,4,Faculty
S025,Michelle Clark,Spring_2024,Diversity,2,Field_Instructor
S025,Michelle Clark,Spring_2024,Human_Rights,5,Field_Instructor
S025,Michelle Clark,Spring_2024,Research,4,Field_Instructor
S025,Michelle Clark,Spring_2024,Policy,4,Faculty
S026,Patrick Lewis,Fall_2023,Diversity,5,Field_Instructor
S026,Patrick Lewis,Fall_2023,Human_Rights,2,Faculty
S026,Patrick Lewis,Fall_2023,Research,4,Faculty
S026,Patrick Lewis,Fall_2023,Policy,4,Faculty
S026,Patrick Lewis,Spring_2024,Ethics,4,Faculty
S026,Patrick Lewis,Spring_2024,Diversity,5,Faculty
S026,Patrick Lewis,Spring_2024,Human_Rights,4,Field_Instructor
S026,Patrick Lewis,Spring_2024,Research,5,Faculty
S026,Patrick Lewis,Spring_2024,Policy,4,Field_Instructor
S027,Samantha Walker,Fall_2023,Ethics,2,Field_Instructor
S027,Samantha Walker,Fall_2023,Diversity,5,Faculty
S027,Samantha Walker,Fall_2023,Human_Rights,4,Field_Instructor
S027,Samantha Walker,Fall_2023,Research,4,Faculty
S027,Samantha Walker,Fall_2023,Policy,5,Field_Instructor
S027,Samantha Walker,Spring_2024,Ethics,5,Faculty
S027,Samantha Walker,Spring_2024,Diversity,4,Faculty
S027,Samantha Walker,Spring_2024,Human_Rights,5,Faculty
S027,Samantha Walker,Spring_2024,Research,3,Faculty
S027,Samantha Walker,Spring_2024,Policy,3,Field_Instructor
S028,Tyler Hall,Fall_2023,Ethics,5,Faculty
S028,Tyler Hall,Fall_2023,Diversity,4,Faculty
S028,Tyler Hall,Fall_2023,Human_Rights,3,Faculty
S028,Tyler Hall,Fall_2023,Research,5,Field_Instructor
S028,Tyler Hall,Fall_2023,Policy,4,Faculty
S028,Tyler Hall,Spring_2024,Ethics,3,Field_Instructor
S028,Tyler Hall,Spring_2024,Diversity,5,Faculty
S028,Tyler Hall,Spring_2024,Human_Rights,5,Field_Instructor
S028,Tyler Hall,Spring_2024,Research,4,Faculty
S028,Tyler Hall,Spring_2024,Policy,4,Field_Instructor
S029,Olivia Young,Fall_2023,Ethics,4,Faculty
S029,Olivia Young,Fall_2023,Diversity,4,Field_Instructor
S029,Olivia Young,Fall_2023,Human_Rights,3,Field_Instructor
S029,Olivia Young,Fall_2023,Research,5,Faculty
S029,Olivia Young,Fall_2023,Policy,5,Faculty
S029,Olivia Young,Spring_2024,Ethics,3,Field_Instructor
S029,Olivia Young,Spring_2024,Diversity,4,Faculty
S029,Olivia Young,Spring_2024,Human_Rights,4,Faculty
S029,Olivia Young,Spring_2024,Research,2,Field_Instructor
S029,Olivia Young,Spring_2024,Policy,4,Field_Instructor
S030,Ryan King,Fall_2023,Ethics,4,Field_Instructor
S030,Ryan King,Fall_2023,Diversity,4,Faculty
S030,Ryan King,Fall_2023,Human_Rights,4,Faculty
S030,Ryan King,Fall_2023,Research,4,Faculty
S030,Ryan King,Fall_2023,Policy,5,Field_Instructor
S030,Ryan King,Spring_2024,Ethics,4,Field_Instructor
S030,Ryan King,Spring_2024,Diversity,4,Field_Instructor
S030,Ryan King,Spring_2024,Human_Rights,5,Faculty
S030,Ryan King,Spring_2024,Research,5,Faculty
S030,Ryan King,Spring_2024,Policy,3,Faculty
